date,temp,year,monthday
1979-01-01,12.311,1979,2020-01-01
1979-01-02,12.293,1979,2020-01-02
1979-01-03,12.274,1979,2020-01-03
1979-01-04,12.23,1979,2020-01-04
1979-01-05,12.273,1979,2020-01-05
1979-01-06,12.299,1979,2020-01-06
1979-01-07,12.214,1979,2020-01-07
1979-01-08,12.237,1979,2020-01-08
1979-01-09,12.222,1979,2020-01-09
1979-01-10,12.226,1979,2020-01-10
1979-01-11,12.198,1979,2020-01-11
1979-01-12,12.243,1979,2020-01-12
1979-01-13,12.251,1979,2020-01-13
1979-01-14,12.22,1979,2020-01-14
1979-01-15,12.196,1979,2020-01-15
1979-01-16,12.216,1979,2020-01-16
1979-01-17,12.318,1979,2020-01-17
1979-01-18,12.353,1979,2020-01-18
1979-01-19,12.303,1979,2020-01-19
1979-01-20,12.345,1979,2020-01-20
1979-01-21,12.352,1979,2020-01-21
1979-01-22,12.306,1979,2020-01-22
1979-01-23,12.263,1979,2020-01-23
1979-01-24,12.294,1979,2020-01-24
1979-01-25,12.261,1979,2020-01-25
1979-01-26,12.258,1979,2020-01-26
1979-01-27,12.252,1979,2020-01-27
1979-01-28,12.144,1979,2020-01-28
1979-01-29,11.985,1979,2020-01-29
1979-01-30,11.891,1979,2020-01-30
1979-01-31,11.872,1979,2020-01-31
1979-02-01,11.874,1979,2020-02-01
1979-02-02,11.941,1979,2020-02-02
1979-02-03,11.958,1979,2020-02-03
1979-02-04,11.871,1979,2020-02-04
1979-02-05,11.873,1979,2020-02-05
1979-02-06,11.938,1979,2020-02-06
1979-02-07,12.033,1979,2020-02-07
1979-02-08,12.09,1979,2020-02-08
1979-02-09,12.128,1979,2020-02-09
1979-02-10,12.157,1979,2020-02-10
1979-02-11,12.172,1979,2020-02-11
1979-02-12,12.192,1979,2020-02-12
1979-02-13,12.119,1979,2020-02-13
1979-02-14,12.168,1979,2020-02-14
1979-02-15,12.214,1979,2020-02-15
1979-02-16,12.184,1979,2020-02-16
1979-02-17,12.209,1979,2020-02-17
1979-02-18,12.287,1979,2020-02-18
1979-02-19,12.318,1979,2020-02-19
1979-02-20,12.383,1979,2020-02-20
1979-02-21,12.376,1979,2020-02-21
1979-02-22,12.335,1979,2020-02-22
1979-02-23,12.35,1979,2020-02-23
1979-02-24,12.341,1979,2020-02-24
1979-02-25,12.323,1979,2020-02-25
1979-02-26,12.379,1979,2020-02-26
1979-02-27,12.462,1979,2020-02-27
1979-02-28,12.484,1979,2020-02-28
1979-03-01,12.483,1979,2020-03-01
1979-03-02,12.547,1979,2020-03-02
1979-03-03,12.648,1979,2020-03-03
1979-03-04,12.646,1979,2020-03-04
1979-03-05,12.675,1979,2020-03-05
1979-03-06,12.734,1979,2020-03-06
1979-03-07,12.742,1979,2020-03-07
1979-03-08,12.724,1979,2020-03-08
1979-03-09,12.769,1979,2020-03-09
1979-03-10,12.765,1979,2020-03-10
1979-03-11,12.853,1979,2020-03-11
1979-03-12,12.882,1979,2020-03-12
1979-03-13,12.908,1979,2020-03-13
1979-03-14,12.996,1979,2020-03-14
1979-03-15,13.057,1979,2020-03-15
1979-03-16,13.076,1979,2020-03-16
1979-03-17,13.102,1979,2020-03-17
1979-03-18,13.197,1979,2020-03-18
1979-03-19,13.299,1979,2020-03-19
1979-03-20,13.354,1979,2020-03-20
1979-03-21,13.382,1979,2020-03-21
1979-03-22,13.508,1979,2020-03-22
1979-03-23,13.548,1979,2020-03-23
1979-03-24,13.506,1979,2020-03-24
1979-03-25,13.449,1979,2020-03-25
1979-03-26,13.403,1979,2020-03-26
1979-03-27,13.414,1979,2020-03-27
1979-03-28,13.462,1979,2020-03-28
1979-03-29,13.506,1979,2020-03-29
1979-03-30,13.569,1979,2020-03-30
1979-03-31,13.526,1979,2020-03-31
1979-04-01,13.523,1979,2020-04-01
1979-04-02,13.547,1979,2020-04-02
1979-04-03,13.557,1979,2020-04-03
1979-04-04,13.561,1979,2020-04-04
1979-04-05,13.57,1979,2020-04-05
1979-04-06,13.57,1979,2020-04-06
1979-04-07,13.623,1979,2020-04-07
1979-04-08,13.756,1979,2020-04-08
1979-04-09,13.777,1979,2020-04-09
1979-04-10,13.741,1979,2020-04-10
1979-04-11,13.778,1979,2020-04-11
1979-04-12,13.809,1979,2020-04-12
1979-04-13,13.875,1979,2020-04-13
1979-04-14,13.912,1979,2020-04-14
1979-04-15,14.003,1979,2020-04-15
1979-04-16,14.076,1979,2020-04-16
1979-04-17,14.099,1979,2020-04-17
1979-04-18,14.126,1979,2020-04-18
1979-04-19,14.178,1979,2020-04-19
1979-04-20,14.251,1979,2020-04-20
1979-04-21,14.263,1979,2020-04-21
1979-04-22,14.225,1979,2020-04-22
1979-04-23,14.273,1979,2020-04-23
1979-04-24,14.341,1979,2020-04-24
1979-04-25,14.412,1979,2020-04-25
1979-04-26,14.427,1979,2020-04-26
1979-04-27,14.454,1979,2020-04-27
1979-04-28,14.473,1979,2020-04-28
1979-04-29,14.531,1979,2020-04-29
1979-04-30,14.486,1979,2020-04-30
1979-05-01,14.508,1979,2020-05-01
1979-05-02,14.59,1979,2020-05-02
1979-05-03,14.621,1979,2020-05-03
1979-05-04,14.593,1979,2020-05-04
1979-05-05,14.588,1979,2020-05-05
1979-05-06,14.625,1979,2020-05-06
1979-05-07,14.688,1979,2020-05-07
1979-05-08,14.792,1979,2020-05-08
1979-05-09,14.85,1979,2020-05-09
1979-05-10,14.933,1979,2020-05-10
1979-05-11,14.948,1979,2020-05-11
1979-05-12,14.934,1979,2020-05-12
1979-05-13,14.958,1979,2020-05-13
1979-05-14,14.988,1979,2020-05-14
1979-05-15,15.085,1979,2020-05-15
1979-05-16,15.168,1979,2020-05-16
1979-05-17,15.217,1979,2020-05-17
1979-05-18,15.223,1979,2020-05-18
1979-05-19,15.209,1979,2020-05-19
1979-05-20,15.26,1979,2020-05-20
1979-05-21,15.321,1979,2020-05-21
1979-05-22,15.35,1979,2020-05-22
1979-05-23,15.395,1979,2020-05-23
1979-05-24,15.429,1979,2020-05-24
1979-05-25,15.431,1979,2020-05-25
1979-05-26,15.454,1979,2020-05-26
1979-05-27,15.474,1979,2020-05-27
1979-05-28,15.523,1979,2020-05-28
1979-05-29,15.594,1979,2020-05-29
1979-05-30,15.539,1979,2020-05-30
1979-05-31,15.484,1979,2020-05-31
1979-06-01,15.487,1979,2020-06-01
1979-06-02,15.539,1979,2020-06-02
1979-06-03,15.613,1979,2020-06-03
1979-06-04,15.695,1979,2020-06-04
1979-06-05,15.701,1979,2020-06-05
1979-06-06,15.723,1979,2020-06-06
1979-06-07,15.768,1979,2020-06-07
1979-06-08,15.81,1979,2020-06-08
1979-06-09,15.864,1979,2020-06-09
1979-06-10,15.892,1979,2020-06-10
1979-06-11,15.925,1979,2020-06-11
1979-06-12,15.908,1979,2020-06-12
1979-06-13,15.925,1979,2020-06-13
1979-06-14,15.893,1979,2020-06-14
1979-06-15,15.843,1979,2020-06-15
1979-06-16,15.878,1979,2020-06-16
1979-06-17,15.967,1979,2020-06-17
1979-06-18,16.066,1979,2020-06-18
1979-06-19,16.137,1979,2020-06-19
1979-06-20,16.151,1979,2020-06-20
1979-06-21,16.127,1979,2020-06-21
1979-06-22,16.112,1979,2020-06-22
1979-06-23,16.098,1979,2020-06-23
1979-06-24,16.142,1979,2020-06-24
1979-06-25,16.146,1979,2020-06-25
1979-06-26,16.113,1979,2020-06-26
1979-06-27,16.111,1979,2020-06-27
1979-06-28,16.137,1979,2020-06-28
1979-06-29,16.172,1979,2020-06-29
1979-06-30,16.142,1979,2020-06-30
1979-07-01,16.138,1979,2020-07-01
1979-07-02,16.077,1979,2020-07-02
1979-07-03,16.071,1979,2020-07-03
1979-07-04,16.065,1979,2020-07-04
1979-07-05,16.053,1979,2020-07-05
1979-07-06,16.084,1979,2020-07-06
1979-07-07,16.122,1979,2020-07-07
1979-07-08,16.215,1979,2020-07-08
1979-07-09,16.232,1979,2020-07-09
1979-07-10,16.259,1979,2020-07-10
1979-07-11,16.301,1979,2020-07-11
1979-07-12,16.267,1979,2020-07-12
1979-07-13,16.231,1979,2020-07-13
1979-07-14,16.191,1979,2020-07-14
1979-07-15,16.172,1979,2020-07-15
1979-07-16,16.169,1979,2020-07-16
1979-07-17,16.209,1979,2020-07-17
1979-07-18,16.184,1979,2020-07-18
1979-07-19,16.179,1979,2020-07-19
1979-07-20,16.197,1979,2020-07-20
1979-07-21,16.218,1979,2020-07-21
1979-07-22,16.219,1979,2020-07-22
1979-07-23,16.188,1979,2020-07-23
1979-07-24,16.113,1979,2020-07-24
1979-07-25,16.043,1979,2020-07-25
1979-07-26,16.051,1979,2020-07-26
1979-07-27,16.091,1979,2020-07-27
1979-07-28,16.081,1979,2020-07-28
1979-07-29,16.144,1979,2020-07-29
1979-07-30,16.191,1979,2020-07-30
1979-07-31,16.169,1979,2020-07-31
1979-08-01,16.099,1979,2020-08-01
1979-08-02,16.163,1979,2020-08-02
1979-08-03,16.244,1979,2020-08-03
1979-08-04,16.298,1979,2020-08-04
1979-08-05,16.36,1979,2020-08-05
1979-08-06,16.375,1979,2020-08-06
1979-08-07,16.409,1979,2020-08-07
1979-08-08,16.44,1979,2020-08-08
1979-08-09,16.422,1979,2020-08-09
1979-08-10,16.389,1979,2020-08-10
1979-08-11,16.337,1979,2020-08-11
1979-08-12,16.279,1979,2020-08-12
1979-08-13,16.263,1979,2020-08-13
1979-08-14,16.275,1979,2020-08-14
1979-08-15,16.284,1979,2020-08-15
1979-08-16,16.308,1979,2020-08-16
1979-08-17,16.276,1979,2020-08-17
1979-08-18,16.154,1979,2020-08-18
1979-08-19,16.051,1979,2020-08-19
1979-08-20,16.041,1979,2020-08-20
1979-08-21,15.995,1979,2020-08-21
1979-08-22,15.884,1979,2020-08-22
1979-08-23,15.877,1979,2020-08-23
1979-08-24,15.916,1979,2020-08-24
1979-08-25,15.898,1979,2020-08-25
1979-08-26,15.812,1979,2020-08-26
1979-08-27,15.75,1979,2020-08-27
1979-08-28,15.778,1979,2020-08-28
1979-08-29,15.774,1979,2020-08-29
